계약일,단지명,전용면적(㎡),거래금액(만원),시군구
2022-02-06,흥해 서희스타힐스 더 캐슬,59.9925,"20,240",경상북도 포항북구 흥해읍 옥성리
2022-02-07,포항 아이파크,84.5134,"35,700",경상북도 포항남구 오천읍 용산리
2022-02-07,포항 아이파크,84.5134,"35,470",경상북도 포항남구 오천읍 용산리
2022-02-07,포항자이 애서턴,84.9253,"51,820",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9146,"50,430",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"51,820",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,101.8942,"64,370",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,125.9389,"78,440",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"52,020",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,125.9389,"78,440",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,101.9744,"64,300",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"48,580",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,101.8942,"62,080",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"51,060",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9146,"52,060",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"48,580",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,101.9361,"63,990",경상북도 포항북구 학잠동
2022-02-07,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-07,흥해 서희스타힐스 더 캐슬,59.9558,"20,440",경상북도 포항북구 흥해읍 옥성리
2022-02-07,흥해 서희스타힐스 더 캐슬,59.9558,"21,000",경상북도 포항북구 흥해읍 옥성리
2022-02-07,KTX포항역 삼구 트리니엔,67.9916,"24,820",경상북도 포항북구 흥해읍 이인리
2022-02-07,한화 포레나 포항,109.4477,"50,490",경상북도 포항북구 흥해읍 이인리
2022-02-08,포항 아이파크,101.6515,"46,770",경상북도 포항남구 오천읍 용산리
2022-02-08,포항 아이파크,101.6515,"46,770",경상북도 포항남구 오천읍 용산리
2022-02-08,포항 아이파크,84.5134,"35,170",경상북도 포항남구 오천읍 용산리
2022-02-08,포항 양학 신원아침도시 퀘렌시아,53.71,"19,674",경상북도 포항북구 득량동
2022-02-08,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"48,530",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9409,"50,400",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9409,"51,150",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.8942,"62,030",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"49,340",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"48,530",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.9361,"61,170",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"51,600",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"51,720",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.9744,"64,950",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"47,770",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9146,"51,200",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9409,"51,150",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9253,"50,050",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.8942,"63,020",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.8942,"63,920",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9409,"50,400",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,101.8942,"63,120",경상북도 포항북구 학잠동
2022-02-08,포항자이 애서턴,84.9409,"49,650",경상북도 포항북구 학잠동
2022-02-08,한화 포레나 포항,109.4477,"51,060",경상북도 포항북구 흥해읍 이인리
2022-02-08,힐스테이트 초곡,74.835,"33,200",경상북도 포항북구 흥해읍 초곡리
2022-02-09,포항자이 애서턴,101.9744,"64,350",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"51,060",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,100",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9409,"51,150",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9684,"56,860",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,101.8942,"63,120",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,84.9146,"51,440",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,101.9744,"64,250",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,101.9361,"62,950",경상북도 포항북구 학잠동
2022-02-09,포항자이 애서턴,101.9744,"64,350",경상북도 포항북구 학잠동
